Cluster Labels,1st Most Common Venue,Count
0,Burger Joint,1
1,Coffee Shop,24
1,Bar,16
1,Italian Restaurant,14
1,Chinese Restaurant,9
1,Park,6
2,Deli / Bodega,28
2,Italian Restaurant,4
2,Donut Shop,2
2,Beach,2
2,Pizza Place,2
3,Bus Station,8
3,Caribbean Restaurant,6
3,Chinese Restaurant,6
3,Fast Food Restaurant,4
3,Fried Chicken Joint,2
4,Deli / Bodega,1
5,Beach,4
5,Pier,1
6,Boat or Ferry,1
7,Bus Stop,5
7,Burger Joint,2
7,Food Truck,2
7,Playground,2
7,Sandwich Place,2
8,Park,7
8,Basketball Court,1
8,Caribbean Restaurant,1
8,Fast Food Restaurant,1
8,Vineyard,1
9,Food,1
10,Park,2
11,Pizza Place,28
11,Grocery Store,7
11,Pharmacy,6
11,Fast Food Restaurant,4
11,Bank,4
12,Mexican Restaurant,9
12,Discount Store,2
12,Convenience Store,1
12,Fast Food Restaurant,1
12,Furniture / Home Store,1
13,Bus Station,1
13,Dog Run,1
14,Deli / Bodega,1
14,Intersection,1
